"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
1.23333333333,0.359984038219,-0.170337737418,0.128579679454,0.247666976845
1.26666666667,0.365108972779,-0.163176738807,0.0999991671712,0.281497090991
1.3,0.367240946499,-0.151848079834,0.0752297452983,0.301690496231
1.33333333333,0.369236710011,-0.141655511562,0.0768903047067,0.285549276035
1.36666666667,0.371768130826,-0.132563945745,0.0945892715891,0.263500892803
1.4,0.374795522756,-0.124490924711,0.128209795159,0.251446755618
1.43333333333,0.382448094993,-0.117293255268,0.103406502756,0.275474827435
1.46666666667,0.382965338503,-0.105121422794,0.0462773706217,0.273433841426
1.5,0.383787137716,-0.0971504536859,0.0335122084217,0.223148894472
1.53333333333,0.383739150925,-0.091651712071,0.060396467525,0.204387295925
1.56666666667,0.388418706554,-0.0842461881948,0.0760719365069,0.207231460056
1.6,0.390134026377,-0.0770808490722,0.0559113854202,0.197395053828
1.63333333333,0.391733672862,-0.0722886107438,0.0423606190927,0.219922071046
1.66666666667,0.392858177808,-0.0621669665423,0.0302787245565,0.233203282137
1.7,0.393689022795,-0.0563488227374,0.0219885698973,0.233390712338
1.73333333333,0.39424358223,-0.0456622659574,0.01580478123,0.207561969794
1.76666666667,0.394826359065,-0.0421160910329,0.00903869427396,0.170318240197
1.8,0.394773611848,-0.0360718586644,0.00229131048899,0.178373337789
1.83333333333,0.394717081793,-0.0295941559648,0.00110237470524,0.173216124656
1.86666666667,0.395850167383,-0.0243627442601,-0.0213353631815,0.16571407736
1.9,0.392602335371,-0.0188967980955,-0.0256946229866,0.164304085893
1.93333333333,0.392549503146,-0.0128428248206,0.0103763097111,0.148670982303
1.96666666667,0.394928967151,-0.00922252055581,0.0056450984507,0.141510172447
2,0.393010386317,-0.00370113677517,-0.00445373482583,0.144299886493
2.03333333333,0.394748310626,-0.000242297513083,-0.0209104424943,0.162604517194
2.06666666667,0.392038411227,0.00721076851995,-0.0470136623706,0.177914646669
2.1,0.390417038063,0.0132802782899,-0.0434489711583,0.15037283193
2.13333333333,0.389740535224,0.0165670516189,-0.0537718883833,0.134188730623
2.16666666667,0.387303578649,0.0217673080376,-0.0722629299001,0.126534410701
2.2,0.383886700886,0.0265108969981,-0.06460602081,0.0872815041279
2.23333333333,0.382698310315,0.0265005260707,-0.0494282027437,0.0759878174457
2.26666666667,0.381163587629,0.0298967096066,-0.0504300575058,0.106137593503
2.3,0.380068070875,0.0354301469827,-0.0723111812529,0.0939238223852
2.33333333333,0.376641234563,0.0362916022424,-0.100172582362,0.0781427507977
2.36666666667,0.372196063575,0.0394237163006,-0.0951995214664,0.0868927480903
2.4,0.369321201202,0.0428958794481,-0.0642929315881,0.0769865025014
2.43333333333,0.368866436466,0.0453321936418,-0.0573914278154,0.0498756506716
2.46666666667,0.366409365346,0.0450233724861,-0.0762977618547,0.0512043769793
2.5,0.363578804593,0.048442343183,-0.0940728507298,0.0629056537498
2.53333333333,0.359829820828,0.0499390650593,-0.103430165274,0.0574701462321
2.56666666667,0.356701577328,0.051748065971,-0.110474603896,0.0618898285036
2.6,0.352144258405,0.0548938138013,-0.109822404184,0.0443646124869
2.63333333333,0.349440604353,0.0549335400829,-0.109537999247,0.0224727401999
2.66666666667,0.345424503197,0.0552248373126,-0.122561537837,0.029701852805
2.7,0.340356629233,0.0571532944,-0.113924284136,0.0320665162949
2.73333333333,0.33789686289,0.0577114564102,-0.108835512922,0.0266271892155
2.76666666667,0.334125694552,0.0589595726564,-0.130694371914,0.0202342471779
2.8,0.329128609613,0.0589159637568,-0.152091448221,0.0181357192694
2.83333333333,0.323804081729,0.0595562835016,-0.167818177743,0.0304677838316
2.86666666667,0.317163178906,0.0614564005018,-0.16073148929,0.028183514825
2.9,0.31294245873,0.062310927642,-0.14872479382,0.00212385230516
2.93333333333,0.307753633421,0.0613548013461,-0.149311582388,-0.0180789523837
2.96666666667,0.30312744297,0.0606714804147,-0.154399541455,-0.0262210993671
3,0.297374682671,0.0590333881852,-0.158844856887,-0.0182352103711
3.03333333333,0.292330813406,0.0598856026362,-0.156588453239,-0.019583408798
3.06666666667,0.287129221886,0.0581597747262,-0.158288022188,-0.0322745603865
3.1,0.281371531145,0.057086655063,-0.151290027259,-0.029976969752
3.13333333333,0.277324372071,0.056471707975,-0.152287091042,-0.0357251253732
3.16666666667,0.271966288492,0.0548175767407,-0.17148586303,-0.0446073866058
3.2,0.265163873039,0.0534577029303,-0.175150835571,-0.0539467033545
3.23333333333,0.260129534575,0.0515433724764,-0.174222893462,-0.0691152813638
3.26666666667,0.254516667243,0.0483868039606,-0.193286063006,-0.0702801620611
3.3,0.246144428201,0.0460731614594,-0.185943814682,-0.0511508699673
3.33333333333,0.241547332957,0.0454047069103,-0.165239190087,-0.0422635853981
3.36666666667,0.236738590494,0.0438722694813,-0.183157024152,-0.0514147404397
3.4,0.228928136233,0.0419288414078,-0.19284173602,-0.0630552877757
3.43333333333,0.223260638858,0.0400089854597,-0.18965605486,-0.0839111450116
3.46666666667,0.216952376804,0.0361644329545,-0.201533650054,-0.0996217313793
3.5,0.209820778163,0.0328971941897,-0.213367290744,-0.10222941738
3.53333333333,0.202495338984,0.0295162348502,-0.2168692896,-0.105592434337
3.56666666667,0.195155348432,0.0255701329292,-0.212478526743,-0.100350453002
3.6,0.187316599,0.0224038810828,-0.184509176029,-0.085311240025
3.63333333333,0.183913692328,0.0205232712147,-0.184335336995,-0.087091632765
3.66666666667,0.17630806207,0.0168768421843,-0.21772427514,-0.0973884980836
3.7,0.168146502608,0.013863639588,-0.224005884849,-0.105496412678
3.73333333333,0.161396304431,0.00986910564219,-0.230529346204,-0.112867696226
3.76666666667,0.15355180945,0.00624494619129,-0.253297202212,-0.11742577585
3.8,0.143801004573,0.00171278981885,-0.256539066258,-0.114783231963
3.83333333333,0.136151887803,-0.000857566590375,-0.249063585598,-0.123944147048
3.86666666667,0.12669296255,-0.00646362789019,-0.227052648409,-0.134512522712
3.9,0.121008943556,-0.0109554231358,-0.207606761541,-0.118597882181
3.93333333333,0.114120977601,-0.0136750034532,-0.220233163413,-0.118736484262
3.96666666667,0.106415210501,-0.0181259923382,-0.2367688254,-0.136500994916
4,0.0970307871741,-0.0238970114884,-0.225148827348,-0.128947227883
4.03333333333,0.0922022153321,-0.026506074088,-0.227255733677,-0.125194784932
4.06666666667,0.082802270582,-0.0316147966163,-0.248364662606,-0.135660497599
4.1,0.0727034283138,-0.0364519813582,-0.199999753977,-0.125155817584
4.13333333333,0.0706060930783,-0.0394707121604,-0.181623821391,-0.127102084666
4.16666666667,0.0631407808268,-0.0446843220088,-0.226751105803,-0.135577413468
4.2,0.0539809834504,-0.0488460089307,-0.238588219295,-0.137508085227
4.23333333333,0.0467813184409,-0.0532438728889,-0.243290704667,-0.154983832097
4.26666666667,0.0380932598881,-0.059554347253,-0.251505364335,-0.17298218248
