"Tempo (s)","X (m)","Y (m)"
1.43333333333,0.37119038668,0.169095692264
1.46666666667,0.367585711806,0.166838622264
1.5,0.363713327624,0.165254479228
1.53333333333,0.362292618294,0.162637494144
1.56666666667,0.360596948975,0.160734715397
1.6,0.356971772367,0.158852995521
1.63333333333,0.355647659818,0.156615827686
1.66666666667,0.352027804484,0.15412435021
1.7,0.349612183039,0.149841531572
1.73333333333,0.347455154566,0.147114764112
1.76666666667,0.341793546048,0.143689039857
1.8,0.342549473756,0.14036755368
1.83333333333,0.341392192321,0.137963025951
1.86666666667,0.336952726913,0.133852032624
1.9,0.334153457764,0.130499520715
1.93333333333,0.329396930617,0.125610585807
1.96666666667,0.32556536419,0.122507456717
2,0.322183831648,0.118367798406
2.03333333333,0.318888921778,0.114566527653
2.06666666667,0.314203819145,0.109388817531
2.1,0.309313817511,0.103213650542
2.13333333333,0.306892832362,0.0999402347187
2.16666666667,0.302393112061,0.097206803779
2.2,0.296042736423,0.0913806404574
2.23333333333,0.29176957335,0.0867680962285
2.26666666667,0.287668309788,0.0818021944265
2.3,0.28223509942,0.0751020586224
2.33333333333,0.278481162995,0.0706042926736
2.36666666667,0.271353344492,0.0654328270579
2.4,0.266735765129,0.0592290304768
2.43333333333,0.260894541179,0.0519086395124
2.46666666667,0.253341341021,0.0449488373986
2.5,0.248258432389,0.0403498979507
2.53333333333,0.242349089225,0.0349134481635
2.56666666667,0.235318801183,0.0280408947281
2.6,0.23016252797,0.0215843411569
2.63333333333,0.224986089054,0.0162541987244
2.66666666667,0.219046885392,0.00871245858832
2.7,0.210416610537,0.00081649265626
2.73333333333,0.203709595053,-0.00559502528825
2.76666666667,0.196934787431,-0.0129235635139
2.8,0.191843547532,-0.0193313164602
2.83333333333,0.183108606458,-0.0262876505885
2.86666666667,0.177260306879,-0.0343763874852
2.9,0.170652944012,-0.0423373850251
2.93333333333,0.163247691344,-0.0500641802049
2.96666666667,0.155087946776,-0.0601609810378
3,0.147610468535,-0.0659280760237
3.03333333333,0.139167275357,-0.0759171034173
3.06666666667,0.13031650015,-0.0849967042779
3.1,0.121588715941,-0.0947470498208
3.13333333333,0.113241594389,-0.101927384056
3.16666666667,0.104213478141,-0.11003008991
3.2,0.0963745372835,-0.122146435599
